Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million
1.0,The Night Agent,TV Show,2023.0,Action,"812,100,000",812.1M
2.0,Ginny & Georgia,TV Show,2021.0,Drama,"665,100,000",665.1M
3.0,The Glory,TV Show,2022.0,Thriller,"622,800,000",622.8M
4.0,Wednesday,TV Show,2022.0,Fantasy,"507,700,000",507.7M
5.0,Queen Charlotte: A Bridgerton Story,TV Show,2023.0,Drama,"503,000,000",503.0M
6.0,You,TV Show,2018.0,Crime,"440,600,000",440.6M
7.0,La Reina del Sur,TV Show,2011.0,Drama,"429,600,000",429.6M
8.0,Outer Banks,TV Show,2020.0,Drama,"402,500,000",402.5M
9.0,Ginny & Georgia,TV Show,2021.0,Drama,"302,100,000",302.1M
10.0,FUBAR,TV Show,2023.0,Action,"266,200,000",266.2M
11.0,Manifest,TV Show,2018.0,Thriller,"262,600,000",262.6M
12.0,Kaleidoscope,TV Show,2023.0,Crime,"252,500,000",252.5M
13.0,Firefly Lane,TV Show,2021.0,Drama,"251,500,000",251.5M
14.0,The Mother,Movie,2023.0,Thriller,"249,900,000",249.9M
15.0,Physical: 100,TV Show,2023.0,Reality-Show,"235,000,000",235.0M
16.0,Crash Course In Romance,TV Show,2023.0,Comedy,"234,800,000",234.8M
17.0,Love Is Blind,TV Show,2020.0,Reality-Show,"229,700,000",229.7M
18.0,Beef,TV Show,2023.0,Comedy,"221,100,000",221.1M
19.0,The Diplomat,TV Show,2023.0,Drama,"214,100,000",214.1M
20.0,Luther: The Fallen Sun,Movie,2023.0,Crime,"209,700,000",209.7M
21.0,Perfil falso,TV Show,2023.0,Drama,"206,500,000",206.5M
22.0,Vikings: Valhalla,TV Show,2022.0,History,"205,500,000",205.5M
23.0,Extraction 2,Movie,2023.0,Action,"201,800,000",201.8M
24.0,"XO, Kitty",TV Show,2023.0,Comedy,"200,700,000",200.7M
25.0,Doctor Cha,TV Show,2023.0,Comedy,"194,700,000",194.7M
26.0,Shadow and Bone,TV Show,2021.0,Fantasy,"192,900,000",192.9M
27.0,Outer Banks,TV Show,2020.0,Drama,"184,000,000",184.0M
28.0,Sweet Tooth,TV Show,2021.0,Superhero,"182,300,000",182.3M
29.0,You People,Movie,2023.0,Comedy,"181,800,000",181.8M
30.0,Perfect Match,TV Show,2023.0,Reality-Show,"176,800,000",176.8M
31.0,Sex/Life,TV Show,2021.0,Drama,"175,500,000",175.5M
32.0,The Marked Heart,TV Show,2022.0,Thriller,"174,300,000",174.3M
33.0,Murder Mystery 2,Movie,2023.0,Comedy,"173,600,000",173.6M
34.0,The Surrogacy,TV Show,2023.0,Drama,"172,400,000",172.4M
35.0,Pablo Escobar: El Patrón del Mal,TV Show,2012.0,Crime,"170,100,000",170.1M
36.0,Never Have I Ever,TV Show,2020.0,Comedy,"168,300,000",168.3M
37.0,Your Place or Mine,Movie,2023.0,Comedy,"163,000,000",163.0M
38.0,Chiquititas,TV Show,2013.0,Comedy,"162,000,000",162.0M
39.0,Emily in Paris,TV Show,2020.0,Drama,"161,100,000",161.1M
40.0,Alice in Borderland,TV Show,2020.0,Thriller,"157,600,000",157.6M
41.0,Alchemy of Souls,TV Show,2022.0,Fantasy,"155,300,000",155.3M
42.0,Outer Banks,TV Show,2020.0,Drama,"153,900,000",153.9M
43.0,New Amsterdam,TV Show,2018.0,Drama,"153,000,000",153.0M
44.0,Til Money Do Us Part,TV Show,2022.0,Drama,"152,100,000",152.1M
45.0,Mr. Queen,TV Show,2020.0,Comedy,"151,500,000",151.5M
46.0,Manifest,TV Show,2018.0,Thriller,"151,400,000",151.4M
47.0,Alchemy of Souls,TV Show,2022.0,Fantasy,"150,200,000",150.2M
